[f, 01]
[t, Gavin, 結果最後只剩下我們兩個討論了耶。]
[t, Fiona, 哈哈~ 對呀，乾脆下次他們兩個都有空的時候在討論吧？]
[t, Fiona, 我們先吃東西比較重要~ 快餓死了~ ]
[t, Gavin, 嗯嗯。這一家的咖哩我覺得還好，妳有吃過在火車站的...]
[t, , ...]
[t, , ....]
[t, , .....]
[t, , 又是一個半小時過去了，不過 Gavin 還滿能聊的，人也不差，不錯不錯。]
[t, Fiona, 可以呀~ 下次去 KTV 唱歌的話要揪我喔~ ]
[t, Gavin, 沒問題沒問題，出去玩女孩子絕對不會被拒絕的，尤其是妳這樣的女孩，哈哈。]
[t, Fiona, 差不多了吧，有人在等我們位子了，該走囉。]
[t, , Gavin 跟我越來越熟了，很快的，即使放置不理他，他也會聽我的話乖乖當工具，呵呵。]
[cend]
[c, B2]
[f, 09]
[t, Fiona, 點餐吧~ Barbara 妳要吃甚麼？]
[f, ca]
[t, , Edwin 先把菜單搶過去畫了。]
[t, Barbara, 都行呀，和妳吃一樣的就好了。]
[t, Fiona, 那個，分組報告我們要怎麼分配工作？]
[t, Edwin, 妳們不用做事啊，我已經快弄完了。]
[t, Barbara, 這樣太麻煩你了吧，有什麼事情可以協助地跟我們說一下呀。]
[t, Edwin, 分組報告這種事情真麻煩，自己一個人處理效率比較高。]
[t, , 我看的出來 Barbara 有點不爽了。]
[t, , Edwin 不知道在自大甚麼，書念太多腦子的溝通能力就會那麼低落嗎？]
[t, Fiona, 哈哈哈... 好吧，這些東西你都會喔？怎麼那麼快就可以寫報告了？]
[t, , ...]
[t, , ....]
[t, , .....]
[t, , 我不應該問這種問題的， Edwin 一直在講無聊枯燥的嚴肅話題。]
[f, c2]
[t, Barbara, 那個... 我有事情，可能要先走了。]
[t, Fiona, 咦，妳不是今天晚上都是空的嗎？]
[t, Barbara, 痾... 臨時有事情~ 掰掰啦。]
[t, , Barbara 待不下去了，我感覺得出來。]
[f, ca]
[t, , 但是為了蒐集這個高智商工具，我只能繼續跟他聊天搭話了。]
[t, , ...]
[c, C1]
[f, 20]
[t, Tony, 咦，你.. 你.. 你怎麼在... 在 在這邊？]
[t, Edwin, 我在討論分組報告順便吃飯啊。]
[t, Tony, 喔.. 喔，那..那那你上次中的那個電..電腦病毒我已經弄...弄好了。]
[t, Edwin, 喔喔！太謝謝你啦，等等我去你房間拿。]
[t, , 那個之前打翻飲料在褲子上的客人... Tony？原來跟 Edwin 是朋友呀。]
[t, , 他會修電腦？那... ]
[t, Fiona, 欸欸！Edwin 我剛才電腦也出了點問題，跳出一個 Wanna Sister Encrypt0r 的視窗。]
[t, Tony, 喔喔，會跳..跳出那個視窗應..應該是全...全全部東西都被鎖了吧。]
[t, Fiona, 還有辦法解決嗎...？]
[t, Tony, 不知道耶... 我也..也...也不知道這個變種鎖...鎖..鎖到什麼地步。]
[t, Fiona, 那... 我電腦在這邊，你可以幫我修嗎？]
[t, Tony, 痾... 也是可以啦...]
[t, Fiona, 謝謝啦~ 我也差不多吃完了，那我先走囉~ ]
[t, Fiona, 電腦修好之後再跟我講就好了~ 我會叫我男朋友去拿~]
[cend]
[c, C2]
[f, 20]
[t, Tony, 咦，你.. 你.. 你怎麼在... 在 在這邊？]
[t, Edwin, 我在討論分組報告順便吃飯啊。]
[t, Tony, 喔.. 喔，那..那那你上次中的那個電..電腦病毒我已經弄...弄好了。]
[t, Edwin, 喔喔！太謝謝你啦，等等我去你房間拿。]
[t, , 那個之前打翻飲料在褲子上的客人... Tony？原來跟 Edwin 是朋友呀。]
[t, , 他會修電腦？那... ]
[t, Fiona, 欸欸！Edwin 我剛才電腦也出了點問題，跳出一個 Wanna Sister Encrypt0r 的視窗。]
[t, Tony, 喔喔，會跳..跳出那個視窗應..應該是全...全全部東西都被鎖了吧。]
[t, Fiona, 還有辦法解決嗎...？]
[t, Tony, 不知道耶... 我也..也...也不知道這個變種鎖...鎖..鎖到什麼地步。]
[t, Fiona, 那... 我電腦在這邊，你可以幫我修嗎？]
[t, Tony, 痾... 也是可以啦...]
[t, Fiona, 謝謝啦~ 我也差不多吃完了，那我先走囉~ ]
[t, Fiona, 電腦修好之後再跟我講就好了~ 我會叫我男朋友去拿~]
[cend]
[cend]
[c, B3]
[f, 09]
[t, , ]
[f, c6]
[t, Eliot, 點餐吧！]
[f, c2]
[t, Barbara, 不知道要吃甚麼耶... 好久沒吃這家了。]
[f, c6]
[t, Eliot, 我記得它的烤餅不錯吃，但是有點偏貴。]
[f, c2]
[t, Barbara, 但是... 不知道耶，想吃麵。]
[t, Fiona, 烤餅很好吃呀，我也這麼覺得。]
[f, c6]
[t, Eliot, 想吃麵的話... 這家店的奶油有加起士，可能會有點膩。]
[f, c2]
[t, Barbara, 那我就點茄汁的好了。]
[t, Barbara, 哇，你好了解喔，很常吃這家店喔？]
[f, c6]
[t, Eliot, 我很愛吃東西呀，每家店的特色還有地雷我大概都知道。]
[f, c2]
[t, Barbara, 但是你又不胖，怎麼吃的呀，哈哈。]
[t, , 完全沒有插嘴的餘地... ]
[t, , 我第一次見到 Barbara 這麼愛說話。]
[f, c6]
[t, Fiona, 感覺 Eliot 你也有在運動對吧？]
[t, Eliot, 哈哈，還好啦。Barbara 下次可以帶妳去吃在市區有一家新開的餐廳喔！]
[t, Eliot, 不太貴，CP值非常高呢！]
[f, c2]
[t, Barbara, 好呀好呀~ ]
[t, , 完全無視我... 感覺室友跟 Eliot 很速配... 算了，我繼續插嘴只會更難看而已...]
[t, , ...]
[t, , ....]
[f, 09]
[t, , .....]
[cend]
[c, E1]
[f, c9]
[t, , 等等... 在餐廳門口的是... Carl！？]
[t, , 他之前約我吃晚餐，我都沒答應，結果被他看到我在跟別的男生吃飯應該不會怎麼樣吧？]
[cend]
[f, 03]
[t, , ]
[f, 00]
[t, , 終於回到房間了，沒電腦可以用...]
[f, 02]
[t, , 算了，還有手機可以用。]
[c, D1]
[t, , Stan 又找我聊天了。]
[f, 21]
[t, Stan, 嗨嗨~ 今天感覺妳好忙碌喔，都沒上線耶]
[t, , 這樣一直監視我上線狀態到底要做什麼...]
[t, Fiona, 啊哈哈，是真的挺忙碌的]
[t, Stan, 在忙甚麼呀~？]
[t, , ...]
[t, , ....]
[t, , .....]
[t, , 又是一堆廢話聊天內容，咦，Gavin 也密我了。]
[cend]
[f, 22]
[t, Gavin, 我要夜跑，快要經過妳宿舍樓下了，要一起跑嗎？]
[t, , 為什麼他會知道我宿舍在哪... ]
[t, Fiona, 可是我還有事情要做耶]
[t, Gavin, 剛開學而以哪有那麼多事情~]
[f, 21]
[t, Stan, 我覺得妳呀，就是一個很善解人意的人耶~]
[f, 22]
[t, Gavin, 快要到了喔~ 要一起跑一下嗎？]
[c, E1]
[t, , Carl 也密我了。]
[f, 12]
[t, Carl, 原來妳已經跟別的男生單獨約吃飯了呀，抱歉一直纏著妳找妳吃飯，哈哈。]
[t, Fiona, 沒有沒有，不用抱歉啦。]
[t, , Carl 不讀不回了，真是奇怪的玻璃心男生。]
[f, 00]
[cend]
[f, 21]
[t, Stan, 去忙囉？怎麼都不回了~]
[f, 22]
[t, Gavin, 最後機會囉~ ]
[t, , 好煩的兩個人，該怎麼打發他們又不失去這兩個工具人呢？]
[t, , 手機鈴響了，噢又是哈尼打給我。]
[f, 02]
[t, Fiona, 哈尼~ 怎麼了~ 又餓了嗎~？]
[t, Fiona, 原來，好喔，那我現在過去~ ]
[t, , 哈哈，哈尼又餓了，每天晚上都餓，他總是吃不飽。]
[t, , 去陪陪他吧，順便吃點宵夜。]
[t, , 順便... 叫 Gavin 幫我丟個垃圾好了，如果他肯，他就是我的工具人了！]
[f, 22]
[t, Fiona, 不過我真的沒時間... 對了，幫我丟個垃圾好不好？]
[t, Gavin, 嗯... 好吧，妳辛苦了，去忙妳的吧！拿垃圾下來給我？]
[t, Fiona, 嗯嗯，等我一下喔。]
[t, Gavin, 沒問題，今晚能看到妳就夠了。]
[t, , 好噁心的話，但是這樣感覺快收服了。]
[f, 00]
[t, , ]
[f, c8]
[t, Fiona, 就這樣囉~ 垃圾給你~ 謝啦~ ]
[t, Gavin, 嗯嗯，快去忙吧！咦，你要去哪裡呀？]
[t, Fiona, 哈哈，掰掰囉~]
[f, 03]
[t, , 絕對不能讓 Gavin 知道我其實是去陪男朋友吃東西，呵呵。]
[f, 00]
[t, , ]
[t, , <<<<第三天>>>>]
[t, , ]
[t, , 這樣每天都睡男朋友家，好像也不錯。]
[t, , 宵夜越吃越飽，每天起床越來越累，不知道為什麼。]
[t, , 啊啊，得去上通識課了，之前選的課好像是... ]
[c, F1]
[t, , 科學在人類文化... 啥的？好長的課程名稱，先去教室再說吧。]
[f, 03]
[t, , ]
[f, 04]
[t, , 沒想到，這堂課還真多人，是因為很涼又容易過嗎...？]
[t, , 那我還真是幸運就這樣選上了。不過... 好像沒有看到認識的人。]
[t, , ...]
[t, , ....]
[t, , .....]
[t, , 好無聊！！！快死翹翹了！這堂課的內容根本是催眠曲！]
[t, , 不對！是鎮魂曲！！再這樣下去我會無聊到死在這裡的！]
[c, D1]
[f, cb]
[t, , 咦，這不是 Stan 嗎？原來他也有上課堂課？]
[t, Stan, 嗨嗨~ 妳旁邊沒座人吧？]
[t, Fiona, 痾... 對，沒人~ ]
[t, Stan, 這堂課很無聊對吧，哈哈，剛才看妳無精打采的。]
[t, Fiona, 對呀，快瘋掉，有點後悔選這堂課。]
[t, Stan, 但是聽說這堂課很搶手耶，因為不太需要花多少心力就能順利拿到學分，哈哈。]
[t, Fiona, 是喔，那我下次可能就不太想來上課了... ]
[t, Stan, 不陪我一起上課嗎~ ]
[t, Fiona, 但是這堂課教的東西，我也不太想學。]
[t, Stan, 但是... 有我可以聊天耶~ ]
[t, , ...誰要跟你這醜男聊天啊，隔著螢幕可能還好，看著你的臉就不太想說話了。]
[t, Fiona, 哈哈，是可以呀，不過如果我直接睡過頭可能就懶得來了吧。]
[t, Stan, 也是，上大學後早上上的課都會很想睡覺~ ]
[t, Stan, 對了，妳昨天是不是跟一個男生一起吃中餐？是男朋友嗎？]
[t, , 痾，完了，我該回答甚麼呢？]
[t, , 如果承認是男朋友的話... 搞不好 Stan 之後就不太會跟我聯絡了？]
[t, , 如果說只是一般朋友的話... 感覺還有機會跟他硬凹？]
[t, Fiona, 那個男生只是一般朋友啦~ 哈哈，我看起來像是有男朋友的人嗎~ ]
[t, Stan, 嗯... 總覺得妳跟那個男生互動很親密呀。]
[t, Fiona, 有嗎？反正不是啦~ 我還找不到好男人可以依靠呢~ ]
[t, Stan, 妳就別再騙了，我早就有聽說妳已經有男友了卻還是一直到處跟別的男生勾搭。]
[t, Fiona, 不是你想的那樣...]
[t, Stan, 我不太能理解為什麼要騙我說，妳沒有男朋友。]
[t, Fiona, 我... ]
[t, Stan, 現在一想起來，跟妳聊天的時候，不知道有多少句話是真實的，不禁讓我毛骨悚然。]
[t, Fiona, 你說話一定要那麼難聽嗎？是假的又怎樣？你以為這世界上有多少人願意跟妳說實話？]
[f, 04]
[t, , Stan 離開了，莫名其妙，講話一定要那麼難聽嗎？我才不差這一個工具人呢。]
[cend]
[c, D2]
[t, , ...]
[t, , ....]
[t, , .....]
[t, , 喔喔！打下課鐘了！我睡了整整一堂課耶，哈哈。]
[cend]
[f, 03]
[cend]
[c, F2]
[t, , 排球課的樣子，不知道會不會遇到運動型工具人，呵呵。]
[f, 00]
[t, , ]
[f, 23]
[t, , ]
[f, c1]
[t, , 那個是... Stephanie？居然跟那傢伙都選上排球。]
[t, Stephanie, 幫我撿球~~~~~~ ]
[t, , 啥，叫我幫忙撿球嗎？]
[t, 某帥哥, 嗯嗯，我打過去囉~~~~~~ ]
[t, , 那個男生... 已經被 Stephanie 收服了嗎！？]
[t, Stephanie, 嗨~ Fiona~ 妳也選上這堂課呀？]
[t, Fiona, 嗯嗯... 那個男生是...？]
[t, Stephanie, 這我要講小聲點... ]
[t, Stephanie, 怎麼樣？不錯吧？不只能當工具人，他這個條件搞不好當我的新男友也不錯呦~ ]
[t, Fiona, 妳也想太美，小心到時候他只是想玩玩妳而已。]
[t, Stephanie, 別在那邊酸~ 自己吃不到就說葡萄酸。]
[f, 00]
[t, , 可惡... 那個男生條件是真的不錯，感覺要被 Stephanie 超越工具人蒐集進度了！]
[c, D1]
[t, Stan, 嘿！是 Fiona 嗎？]
[f, cb]
[t, , 我的天，居然是那個醜男 Stan。]
[t, Fiona, 原來你也在這呀~ ]
[t, , 我如果跟這個醜男一起打球，肯定會被 Stephanie 看下去的！]
[t, Stan, 要一起打球嗎？]
[t, Fiona, 痾... 沒關係，我自己對牆練習好了。]
[t, Stan, 是喔... 好吧，沒關係... ]
[f, 23]
[t, , Stan 看起來有點失落，但是應該沒關係吧。]
[t, , 他長那個樣子應該常常被女生拒絕，應該習慣了吧？]
[f, cb]
[t, 某妹子, Stan~ 要一起打球嗎？]
[t, Stan, 哈哈，好呀，只不過我排球很差喔。]
[t, 某妹子, 無所謂啦，我也沒多厲害。]
[f, 23]
[t, , 哇，居然被別的女孩子找去一起打球了。]
[t, , 現在反而變成我自己一個人而已了。]
[cend]
[t, , 可以的... 我等... 很快就會有男生來找我打球了。]
[f, c1]
[t, , ...]
[t, Stephanie, 你好厲害呦~ 教我~ ]
[t, 某帥哥, 嗯嗯，首先，妳的手...]
[t, , ....]
[t, Stephanie, 好熱好熱~ 我們去買喝的好了？]
[t, 某帥哥, 好呀，Stephanie想喝什麼？]
[t, , .....]
[t, , 好熱啊... 大太陽的... 終於下課了。]
[f, 23]
[t, , 一直聽到他們兩個在那邊微閃的對話，我也得加緊腳步才行。]
[t, , 但是今天從頭到尾都在對牆練習... 下次上課再繼續物色男生吧。]
[cend]
[c, F3]
[t, , 中級英文選讀... 當初我為什麼要選這種男女比正常的課呀... ]
[t, , 女生太多，我就沒有什麼機會去吸引更多工具人了。]
[f, 24]
[t, , 咦，Edwin 和 Dan 也在這？]
[f, c5]
[t, Dan, 嘿~ Fiona，也來這上英文課喔？]
[t, Fiona, 哈哈，是呀，原來你們兩個認識喔？]
[f, 24]
[t, Dan, 算是吧，這傢伙是我的解題機器人，哈哈哈。]
[t, Dan, 不過他除了課業以外，就是個生活白癡~ ]
[t, Edwin, 我哪是生活白癡... ]
[t, Dan, 你就承認吧，我跟妳說喔，他上次在學校廁所大號，結果忘記帶衛生紙... ]
[t, Edwin, 你別再說了啦！]
[t, Dan, 我就是要說，你能怎麼樣？]
[t, Fiona, 怎麼了怎麼了？繼續說~ ]
[t, Dan, 他就上廁所趁外頭沒有人，自己爬到洗手台上洗屁股，哈哈哈哈哈哈！]
[t, Fiona, 哈哈哈哈哈，結果勒？]
[t, Dan, 結果突然有人進來廁所，他嚇一跳突然施力就把洗手台坐破了！]
[t, Fiona, 哈哈哈哈哈哈哈，那你怎麼知道這個故事的？]
[t, Dan, 我聽其他人說的呀，這件事情男生之間大部分的人都知道了~ ]
[t, Fiona, 那我還真幸運，知道這件白癡的事情~ ]
[t, , Edwin 不發一語，但是，無所謂吧，這些事情真是太好笑了。]
[t, Fiona, 還有嗎？類似這種事情，我笑的肚子好痛。]
[t, Dan, 還有超多！Edwin 真的是一個寶耶，常常會做一些正常人無法理解的事情，像是...]
[t, , Dan 也是個壞人，總會記得別人的黑歷史。]
[t, , 不過這醜男在跟我講話時，一直盯著我身體看，有點不太舒服。]
[t, , 沒辦法，Dan 收服起來的話就有平常載我出去玩的人了。]
[t, , ...]
[t, , ....]
[t, , .....]
[t, , 聽了一堆 Edwin 的蠢事，這堂課真是過得挺開心的。]
[cend]
[f, 03]
[t, , 下課後，肚子有點餓了，先陪男朋友吃吃吧~ ]
[t, , ]
[f, 09]
[t, Fiona, 哈尼~ 讓你久等了，先來點餐吧~ ]
[f, c3]
[t, 男友, 嗯嗯，快點吧，我等等還有課。]
[t, 男友, 對了，哈尼，我最近聽我朋友說，常常看到妳在跟不同的男生聊天吃飯？]
[t, Fiona, 你聽誰講的，都是討論公事，這學期又一堆分組報告... ]
[t, 男友, 那就好，我相信我的寶貝 Fiona 不會做這種事情的~ ]
[t, Fiona, 當然呀，而且最近遇到的男生不是很醜就是很矮，還是哈尼最棒~ ]
[t, 男友, 哈哈，別吹捧了~ 我不棒的話，寶貝 Fiona 怎麼會愛我呢？]
[t, , 還是最喜歡男朋友了~ 其他男生都只是我的工具人，誰想跟他們傳緋聞呀。]
[c, C1]
[t, 男友, Fiona 這是什麼！！]
[t, Fiona, 怎麼了？那麼緊張做什麼。]
[t, , 男朋友遞給了我的他的手機。]
[f, 25]
[t, , ...]
[t, , 這是... 為什麼... ]
[t, , 到底為什麼... ]
[t, , ...]
[t, , 手機畫面中的影片，是我跟男朋友的私密影片... ]
[t, , 為什麼會出現在這個公開的網站！？]
[f, c3]
[t, 男友, 到底為什麼會流出去？]
[f, 31]
[t, , 我腦袋中一片空白。]
[f, c3]
[t, 男友, 喂，Fiona，我在問妳為什麼？]
[f, 31]
[t, , 為什麼會發生這種事情... 電腦被駭嗎... ]
[f, c3]
[t, 男友, 喂！Fiona，妳現在在想甚麼，我在問妳問題！]
[t, Fiona, 我哪知道啊！你以為我想要這種事情發生嘛！]
[t, Fiona, 這樣還談甚麼工具人的比賽！我在這學校要活不下去了！]
[t, 男友, 妳好好想想，到底有可能從哪裡流出這些該死的影片！]
[f, 31]
[t, , 電腦被駭... 難道是 Tony 偷看我電腦裡的檔案？]
[t, , 很快的，全世界都會看光我的全部了... ]
[t, , 不管男生女生，大家都會用異樣的眼光看著我... ]
[t, , 怎麼辦... 這要怎麼繼續... ]
[f, 29]
[t, , 一陣頭暈目眩，我，與這個世界失去了連結。]
[f, 00]
[t, , ...]
[t, , ]
[e]
[cend]
[c, C2]
[t, 男友, Fiona 這是什麼！！]
[t, Fiona, 怎麼了？那麼緊張做什麼。]
[t, , 男朋友遞給了我的他的手機。]
[f, 25]
[t, , ...]
[t, , 這是... 為什麼... ]
[t, , 到底為什麼... ]
[t, , ...]
[t, , 手機畫面中的影片，是我跟男朋友的私密影片... ]
[t, , 為什麼會出現在這個公開的網站！？]
[f, c3]
[t, 男友, 到底為什麼會流出去？]
[f, 31]
[t, , 我腦袋中一片空白。]
[f, c3]
[t, 男友, 喂，Fiona，我在問妳為什麼？]
[f, 31]
[t, , 為什麼會發生這種事情... 電腦被駭嗎... ]
[f, c3]
[t, 男友, 喂！Fiona，妳現在在想甚麼，我在問妳問題！]
[t, Fiona, 我哪知道啊！你以為我想要這種事情發生嘛！]
[t, Fiona, 這樣還談甚麼工具人的比賽！我在這學校要活不下去了！]
[t, 男友, 妳好好想想，到底有可能從哪裡流出這些該死的影片！]
[f, 31]
[t, , 電腦被駭... 難道是 Tony 偷看我電腦裡的檔案？]
[t, , 很快的，全世界都會看光我的全部了... ]
[t, , 不管男生女生，大家都會用異樣的眼光看著我... ]
[t, , 怎麼辦... 這要怎麼繼續... ]
[f, 29]
[t, , 一陣頭暈目眩，我，與這個世界失去了連結。]
[f, 00]
[t, , ...]
[t, , ]
[e]
[cend]
[t, ,]
[f, 00]
[t, , 吃飽了~ 最近一直吃吃吃，都沒做什麼運動，這身材不知道能維持多久。]
[f, 03]
[t, , 先回宿舍吧，不然也不知道能做什麼。]
[c, F3]
[c, D1]
[t, Stan, 嘿！Fiona！]
[f, cb]
[t, Fiona, 噢，是你呀，怎麼了？]
[t, Stan, Fiona 妳是不是最近跟 Edwin 上同一堂課？]
[t, Fiona, 嗯，是呀。]
[t, Stan, 我真是對妳太失望了，妳知道 Edwin 今天上課結束後有多難過嗎？]
[t, Stan, Dan 和妳嘲弄那麼久，Dan 本來就是一個很霸道的人了，妳卻只在旁邊落井下石。]
[t, Fiona, 不過那些事情真的很好笑嘛... ]
[t, Stan, Edwin 每次被言語霸凌都會很難過，結果這次又多被一個女孩子嘲笑。]
[t, Fiona, 他也太玻璃心了吧！不要做出那些事情就不會被笑了啊！]
[t, Stan, 妳竟然現在還不認為自己有錯！]
[t, Stan, 算了，我懶得跟妳說了。]
[t, Fiona, 我也懶得聽你講。]
[t, , 我的天啊，我到底造了甚麼孽，老是遇到這些麻煩事。]
[cend]
[cend]
[f, 01]
[t, , 回到宿舍房間躺著真舒服，好懶得動~ ]
[t, , 咦，是 Dan 找我。]
[f, 26]
[t, Dan, 嘿！我要跟 Gavin 去游泳，妳要一起去嗎？]
[t, , 痾，我跟他們很熟嗎，為什麼要找我... ]
[t, , 不過... 這可能是一次捕獲兩個工具人的機會！]
[t,  Fiona, 嗯嗯，好呀，反正我也正想要多運動運動~ ]
[t, Dan, 太好了，那我們就等等游泳池見吧！]
[t, , 我的身材應該還是很好的，等等看他們的反應就知道了，呵呵。]
[t, , 希望我男朋友不知道這件事情，哈哈，不然就很麻煩了。]
[t, , ]
[f, 27]
[t, Gavin, 嗨~！Fiona！]
[f, c8]
[t, Gavin, 妳換完泳衣後，還有點看不太出來是妳耶！]
[t, Fiona, 哈哈，哪有那麼誇張，是差在哪啦~ ]
[f, c5]
[t, Dan, 妳終於來了，不錯呀... ]
[f, c8]
[t, Gavin, 甚麼不錯，說話說一半的。感覺頭髮包進泳帽後就比較難辨認是誰了~ ]
[t, , Dan 一直盯著我看，而且急著轉過去後在岸邊坐下來，不知道為什麼。]
[t, Dan, 那個... 我要先下水囉！]
[t, , Dan 真的有點肥，但是還是挺壯的，被一直盯著身體的感覺真不舒服。]
[t, , 但是，我要告訴我自己，要堅持下去！工具人就是我的了！]
[t, Fiona, 我也要下水囉！]
[f, 27]
[t, , ...]
[t, , ....]
[c, B1]
[t, , Gavin 在游泳池裡一直靠近我... 感覺每次都差一點就要碰到我了。]
[f, c8]
[t, Gavin, Fiona, 妳打水的姿勢好像有點奇怪耶。]
[t, Fiona, 真的嗎？怎麼說？]
[t, Gavin, 妳先打水一下，我再跟妳確認。]
[t, Fiona, 嗯嗯，好喔！]
[f, 27]
[t, , ...]
[t, , ]
[f, c8]
[t, Gavin, 妳的腳板不應該是垂直的，這樣會切水而不是打水喔。]
[t, , Gavin 直接抓著我的腳，嚇了我一跳。]
[t, Gavin, 而且妳的腿和膝蓋有點僵直，應該要放鬆打水。]
[t, Fiona, 嗯... 嗯~ ]
[t, , Gavin 又摸了我的腿，有點不太舒服。]
[t, , 但是沒辦法，這點點犧牲，是為了 Gavin 這個工具呀！]
[f, c5]
[t, Dan, Gavin 你在做啥啊，偷吃豆腐？]
[f, c8]
[t, Gavin, 沒有呀，我只是在簡單的教教 Fiona 怎麼游~ 泳~ ]
[f, c5]
[t, Dan, 嗯... 只是這樣就好。]
[f, c8]
[t, Gavin, 你幹嘛突然那麼嚴肅？]
[t, Gavin, 還是你也想要摸一把？哈哈哈~ ]
[f, c5]
[t, Dan, 你在講什麼鬼話，再說一次試試看。]
[t, Fiona, Gavin 你在說甚麼啦，摸了小心手爛掉~ ]
[t, , 大家怎麼突然變得那麼緊張，得緩和一下氣氛。]
[t, Fiona, 那我繼續游喔~ ]
[f, 27]
[t, , 怎麼聽到 Dan 跟 Gavin 講話的聲音有點大，希望不是吵架了。]
[t, , ...]
[t, , 咦？Dan 和 Gavin 怎麼不見了？]
[t, Dan,  唉呀，在找我嗎？抱歉抱歉，剛才去上個廁所。]
[f, c5]
[t, Fiona, 是喔，那 Gavin 呢？]
[t, Dan, 他喔... 剛才也去廁所，不過... 他不重要啦。]
[t, Dan, 我們繼續游泳吧！]
[t, Fiona, 不等 Gavin 嗎？]
[t, Dan, 他... 應該不會回來了吧。]
[t, Fiona, 為什麼？！]
[t, Dan, 痾... 轉學之類的吧？]
[t, Fiona, 咦咦咦咦！？]
[t, Dan, 別驚訝，反正我們繼續游泳~ ]
[t, Fiona, 嗯嗯.. 好喔。]
[t, , 真是奇怪，算了，希望 Gavin 沒事就好。]
[cend]
[t, , 游泳結束後，體力消耗真多，不知道燃燒了多少的卡路里。]
[f, c5]
[t, Dan, 我肚子在叫了，哈哈，要一起吃晚餐嗎？]
[t, Fiona, 嗯嗯，好呀，不過，我想要先回宿舍洗個澡換個衣服。]
[t, Dan, 那要不要乾脆騎車出去吃？去吃個好一點的犒賞今天疲勞的自己。]
[t, Fiona, 嗯... ]
[t, , 應該還好吧？反正我又沒有喜歡 Dan ，哈尼應該不會反對的？]
[t, Fiona, 好呀，那等等... 停車場見？]
[t, Dan, 就這麼說定囉。]
[f, 03]
[t, , 那不是 Stephanie 和 Edwin 嗎？]
[t, , 原來他們兩個認識？]
[f, ca]
[t, , 而且 Stephanie 還乖乖地跟在 Edwin 後面。]
[f, c1]
[t, Stephanie, Edwin~ 謝謝你特地來考試~ <3 ]
[t, , Edwin 要進教室考試？]
[f, ca]
[t, Edwin, 嗯，沒差啦，反正這個考試又不用準備。]
[f, c1]
[t, Stephanie, 還是謝謝你喔~ <3 ]
[f, ca]
[t, Edwin, 別這樣說啦，幫妳一下對我而言也不是什麼麻煩事呀。]
[t, , 天啊， Stephanie 已經收服完 Edwin 了嗎？]
[t, , Edwin 講話語氣這樣服服貼貼的。]
[t, Stephanie, 如果你考試幫我考過了這一科~ 等等我就和你一起吃晚餐呦~ <3 ]
[t, Edwin, 嗯，沒問題的，我會好好考~ ]
[t, Stephanie, 那我先回去宿舍等你結果囉~ <3 Bye~ ]
[t, , 我的老天鵝，Stephanie 已經完完全全的佔有了 Edwin 這個工具！]
[t, , 看來我得加把勁... 不然這場比賽，我就真的會輸的徹底了！]
[f, 00]
[t, , ]
[t, , ...]
[t, , 游泳完洗澡後，肚子真的快餓扁了。]
[t, , 得趕緊過去停車場找 Dan，今晚就要成功讓他被我收服！]
[f, 03]
[t, Alex, 嘿！Fiona 嗎？]
[f, c7]
[t, , 噢，是那個富二代，這麼久沒見，都差點忘記他的名字了。]
[t, Fiona, 對呀，怎麼了？]
[t, Alex, 我今天等等要去台北跑個趴，要一起去嗎？]
[t, Fiona, 是喔！你要怎麼過去呀？]
[t, Alex, 坐車呀，不然呢？]
[t, Fiona, 去跑趴不是會喝酒嗎？這樣要怎麼開車？]
[t, Alex, 哈哈哈，我又不會開車，我已經叫轎車接送了~ ]
[t, , 哇... 這傢伙真的很有錢，感覺如果成功收服變成工具的話，那我以後就不愁吃穿了？]
[t, Fiona, 嗯... 不知道耶，這麼突然... ]
[t, Alex, 要不要跟我一起來這趟狂歡之旅，就等妳這樣漂亮的女孩子答應囉~ ]
[t, , 痾痾，這個被男友發現，哈尼應該會生氣。]
[t, Alex, 而且呀，女孩子去夜店是不用入場費的~ 別擔心錢的問題~ ]
[t, , 但是... 又有點心動... ]
[f, c5]
[t, , 而且還有 Dan 在等我吃晚餐... ]
[f, 00]
[o, I, 2, 今晚要怎麼度過？, 拋棄 Dan，和 Alex 去跑趴, 拒絕 Alex，跟 Dan 去吃晚餐]
[c, I1]
[t, , ]
[f, c7]
[t, Alex, 走吧！Fiona 我帶妳去開開眼界~ ]
[f, 28]
[t, , 音樂好大聲，幾乎聽不見別人說話。]
[t, Alex, Fiona！一起去舞池吧，別彆扭了！]
[t, Fiona, 啊... 不要啦，這樣好奇怪。]
[t, Alex, 那把妳桌上那杯 shot 喝掉吧，搞不好喝完之後就敢了~ ]
[t, , 這杯 shot 好辣，但是其實還滿好喝的。]
[t, , 不知道是 Shot 的關係，還是剛才我連續喝了3、4杯調酒... ]
[f, 29]
[t, , 啊... 啊... 頭真的好暈... ]
[f, 00]
[t, , 眼睛張開好模糊... ]
[f, 29]
[t, , 好想吐... 但是全身都沒有力氣... ]
[t, , 我聽到了好多模糊的笑聲... 還有尖叫聲... ]
[t, , 啊... 是我自己的尖叫聲吧... ]
[f, 00]
[t, , ]
[t, , ...]
[f, 01]
[t, , 這裡... 是哪？]
[t, , 頭痛欲裂，我在一個未知的房間全身赤裸著醒來。]
[t, , 房間地板都是用過的殘留物... ]
